Census year,CLUE small area,ANZSIC indusrty,Business size,Total establishments,Total jobs
2022,Southbank,"Rental, Hiring and Real Estate Services",Non employing,2,
2022,Southbank,"Rental, Hiring and Real Estate Services",Small business,19,158
2022,Southbank,"Transport, Postal and Warehousing",Non employing,1,
2022,Southbank,Wholesale Trade,Large business,2,
2022,West Melbourne (Industrial),Accommodation and Food Services,Small business,3,6
2022,West Melbourne (Industrial),Arts and Recreation Services,Non employing,7,0
2022,West Melbourne (Industrial),Arts and Recreation Services,Small business,1,
2022,West Melbourne (Industrial),Construction,Medium business,1,
2022,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Medium business,1,
2022,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Small business,2,
2022,West Melbourne (Industrial),Information Media and Telecommunications,Non employing,3,0
2022,West Melbourne (Industrial),Manufacturing,Medium business,3,167
2022,West Melbourne (Industrial),Other Services,Medium business,1,
2022,West Melbourne (Industrial),"Rental, Hiring and Real Estate Services",Small business,2,
2022,West Melbourne (Industrial),Retail Trade,Medium business,2,
2022,West Melbourne (Industrial),Retail Trade,Small business,5,32
2022,West Melbourne (Industrial),"Transport, Postal and Warehousing",Medium business,15,1044
2022,West Melbourne (Industrial),"Transport, Postal and Warehousing",Non employing,18,0
2022,West Melbourne (Industrial),"Transport, Postal and Warehousing",Small business,12,129
2022,West Melbourne (Residential),Accommodation and Food Services,Medium business,2,
2022,West Melbourne (Residential),Accommodation and Food Services,Small business,48,267
2022,West Melbourne (Residential),Administrative and Support Services,Medium business,2,
2022,West Melbourne (Residential),Arts and Recreation Services,Medium business,2,
2022,West Melbourne (Residential),Arts and Recreation Services,Non employing,10,0
2022,West Melbourne (Residential),Construction,Small business,9,71
2022,West Melbourne (Residential),Education and Training,Medium business,5,341
2022,West Melbourne (Residential),Education and Training,Non employing,1,
2022,West Melbourne (Residential),Education and Training,Small business,11,114
2022,West Melbourne (Residential),Health Care and Social Assistance,Medium business,3,99
2022,West Melbourne (Residential),Health Care and Social Assistance,Small business,17,100
2022,West Melbourne (Residential),Information Media and Telecommunications,Medium business,2,
2022,West Melbourne (Residential),Other Services,Non employing,5,0
2022,West Melbourne (Residential),"Professional, Scientific and Technical Services",Non employing,1,
2022,West Melbourne (Residential),Public Administration and Safety,Large business,1,
2022,West Melbourne (Residential),Public Administration and Safety,Medium business,1,
2022,West Melbourne (Residential),Public Administration and Safety,Small business,3,28
2022,West Melbourne (Residential),Wholesale Trade,Small business,13,77
2023,Carlton,Accommodation and Food Services,Small business,246,1599
2023,Carlton,Administrative and Support Services,Medium business,3,67
2023,Carlton,Administrative and Support Services,Small business,6,25
2023,Carlton,Construction,Small business,8,52
2023,Carlton,Education and Training,Large business,13,5791
2023,Carlton,Education and Training,Non employing,12,0
2023,Carlton,Health Care and Social Assistance,Small business,88,501
2023,Carlton,Information Media and Telecommunications,Non employing,1,
2023,Carlton,Retail Trade,Medium business,5,276
2023,Carlton,Wholesale Trade,Medium business,2,
2023,Docklands,Accommodation and Food Services,Non employing,3,0
2023,Docklands,Accommodation and Food Services,Small business,215,1368
2023,Docklands,Administrative and Support Services,Small business,12,74
2023,Docklands,"Agriculture, Forestry and Fishing",Medium business,1,
2023,Docklands,"Agriculture, Forestry and Fishing",Small business,1,
2023,Docklands,Arts and Recreation Services,Large business,4,1878
2023,Docklands,Arts and Recreation Services,Small business,27,154
2023,Docklands,Construction,Large business,2,
2023,Docklands,Construction,Small business,11,74
2023,Docklands,Education and Training,Medium business,8,901
2023,Docklands,Education and Training,Non employing,1,
2023,Docklands,Financial and Insurance Services,Large business,15,30191
2023,Docklands,Health Care and Social Assistance,Medium business,7,291
2023,Docklands,Health Care and Social Assistance,Small business,33,139
2023,Docklands,Information Media and Telecommunications,Large business,5,3640
2023,Docklands,Other Services,Large business,1,
2023,Docklands,Other Services,Non employing,14,0
2023,Docklands,Other Services,Small business,54,170
2023,Docklands,"Professional, Scientific and Technical Services",Large business,17,12440
2023,Docklands,Public Administration and Safety,Large business,5,8505
2023,Docklands,Public Administration and Safety,Medium business,9,956
2023,Docklands,Public Administration and Safety,Small business,7,45
2023,Docklands,"Rental, Hiring and Real Estate Services",Non employing,1,
2023,Docklands,"Transport, Postal and Warehousing",Large business,4,3347
2023,Docklands,"Transport, Postal and Warehousing",Medium business,7,452
2023,East Melbourne,Accommodation and Food Services,Large business,3,2750
2023,East Melbourne,Accommodation and Food Services,Medium business,2,
2023,East Melbourne,Administrative and Support Services,Medium business,3,145
2023,East Melbourne,Arts and Recreation Services,Small business,11,84
2023,East Melbourne,Construction,Non employing,1,
2023,East Melbourne,"Electricity, Gas, Water and Waste Services",Non employing,7,0
2023,East Melbourne,Health Care and Social Assistance,Medium business,30,1774
2023,East Melbourne,Health Care and Social Assistance,Non employing,3,0
2023,East Melbourne,Health Care and Social Assistance,Small business,183,993
2023,East Melbourne,Information Media and Telecommunications,Small business,2,
2023,East Melbourne,Other Services,Large business,1,
2023,East Melbourne,Other Services,Non employing,8,0
2023,East Melbourne,"Professional, Scientific and Technical Services",Medium business,13,611
2023,East Melbourne,Public Administration and Safety,Large business,6,4252
2023,East Melbourne,Public Administration and Safety,Medium business,12,956
2023,East Melbourne,Retail Trade,Non employing,1,
2023,East Melbourne,"Transport, Postal and Warehousing",Small business,2,
2023,East Melbourne,Wholesale Trade,Medium business,1,
2023,East Melbourne,Wholesale Trade,Small business,1,
2023,Kensington,"Agriculture, Forestry and Fishing",Small business,1,
2023,Kensington,Arts and Recreation Services,Large business,2,
2023,Kensington,Health Care and Social Assistance,Non employing,1,
2023,Kensington,Other Services,Medium business,3,116
2023,Kensington,"Professional, Scientific and Technical Services",Small business,25,198
2023,Kensington,Public Administration and Safety,Medium business,1,
2023,Kensington,Retail Trade,Medium business,3,311
2023,Kensington,Retail Trade,Non employing,1,
2023,Kensington,"Transport, Postal and Warehousing",Small business,4,11
2023,Kensington,Wholesale Trade,Small business,21,133
2023,Melbourne (CBD),Accommodation and Food Services,Large business,4,1462
2023,Melbourne (CBD),Accommodation and Food Services,Medium business,256,11077
2023,Melbourne (CBD),Administrative and Support Services,Large business,8,3506
2023,Melbourne (CBD),Arts and Recreation Services,Large business,2,
2023,Melbourne (CBD),Arts and Recreation Services,Medium business,36,1896
2023,Melbourne (CBD),Construction,Small business,74,591
2023,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Large business,5,4697
2023,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Non employing,35,0
2023,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,15,127
2023,Melbourne (CBD),Financial and Insurance Services,Large business,34,24629
2023,Melbourne (CBD),Financial and Insurance Services,Medium business,177,9958
2023,Melbourne (CBD),Information Media and Telecommunications,Large business,8,12296
2023,Melbourne (CBD),Information Media and Telecommunications,Non employing,5,0
2023,Melbourne (CBD),Mining,Medium business,8,550
2023,Melbourne (CBD),Other Services,Large business,2,
2023,Melbourne (CBD),Other Services,Medium business,52,2302
2023,Melbourne (CBD),Other Services,Non employing,73,0
2023,Melbourne (CBD),"Professional, Scientific and Technical Services",Large business,47,21677
2023,Melbourne (CBD),Public Administration and Safety,Medium business,79,6674
2023,Melbourne (CBD),Public Administration and Safety,Small business,51,462
2023,Melbourne (Remainder),Accommodation and Food Services,Medium business,6,334
2023,Melbourne (Remainder),Administrative and Support Services,Medium business,1,
2023,Melbourne (Remainder),Arts and Recreation Services,Small business,10,71
2023,Melbourne (Remainder),Education and Training,Large business,4,1693
2023,Melbourne (Remainder),Financial and Insurance Services,Large business,2,
2023,Melbourne (Remainder),Financial and Insurance Services,Small business,9,77
2023,Melbourne (Remainder),Health Care and Social Assistance,Medium business,7,509
2023,Melbourne (Remainder),Information Media and Telecommunications,Medium business,1,
2023,Melbourne (Remainder),Manufacturing,Small business,4,6
2023,Melbourne (Remainder),Other Services,Medium business,1,
2023,Melbourne (Remainder),Other Services,Non employing,7,0
2023,Melbourne (Remainder),Other Services,Small business,9,39
2023,Melbourne (Remainder),Public Administration and Safety,Medium business,1,
2023,Melbourne (Remainder),"Rental, Hiring and Real Estate Services",Small business,7,40
2023,Melbourne (Remainder),Retail Trade,Large business,1,
2023,Melbourne (Remainder),Retail Trade,Medium business,1,
2023,Melbourne (Remainder),"Transport, Postal and Warehousing",Non employing,2,
2023,Melbourne (Remainder),Wholesale Trade,Large business,1,
2023,Melbourne (Remainder),Wholesale Trade,Medium business,4,199
2023,North Melbourne,Accommodation and Food Services,Medium business,4,115
2023,North Melbourne,Administrative and Support Services,Medium business,5,368
2023,North Melbourne,Administrative and Support Services,Small business,20,116
2023,North Melbourne,Arts and Recreation Services,Small business,40,201
2023,North Melbourne,Construction,Large business,1,
2023,North Melbourne,Construction,Small business,21,184
2023,North Melbourne,Financial and Insurance Services,Medium business,1,
2023,North Melbourne,Health Care and Social Assistance,Medium business,16,675
2023,North Melbourne,Health Care and Social Assistance,Non employing,3,0
2023,North Melbourne,Information Media and Telecommunications,Non employing,2,
2023,North Melbourne,"Professional, Scientific and Technical Services",Non employing,1,
2023,North Melbourne,Public Administration and Safety,Non employing,2,
2023,North Melbourne,Retail Trade,Medium business,5,264
2023,North Melbourne,"Transport, Postal and Warehousing",Small business,12,55
2023,North Melbourne,Wholesale Trade,Non employing,1,
2023,Parkville,Accommodation and Food Services,Large business,1,
2023,Parkville,Accommodation and Food Services,Non employing,8,0
2023,Parkville,Administrative and Support Services,Medium business,2,
2023,Parkville,Arts and Recreation Services,Medium business,5,172
2023,Parkville,Arts and Recreation Services,Non employing,27,0
2023,Parkville,Construction,Small business,1,
2023,Parkville,Education and Training,Medium business,43,3610
2023,Parkville,Financial and Insurance Services,Small business,5,33
2023,Parkville,Information Media and Telecommunications,Non employing,2,
2023,Parkville,Other Services,Non employing,6,0
2023,Parkville,Other Services,Small business,7,42
2023,Parkville,"Professional, Scientific and Technical Services",Small business,8,89
2023,Parkville,Public Administration and Safety,Large business,1,
2023,Parkville,Public Administration and Safety,Medium business,1,
2023,Parkville,"Rental, Hiring and Real Estate Services",Non employing,1,
2023,Parkville,Wholesale Trade,Medium business,1,
2023,Port Melbourne,Accommodation and Food Services,Small business,16,85
2023,Port Melbourne,Administrative and Support Services,Non employing,1,
2023,Port Melbourne,Arts and Recreation Services,Medium business,1,
2023,Port Melbourne,Arts and Recreation Services,Non employing,5,0
2023,Port Melbourne,Construction,Non employing,2,
2023,Port Melbourne,Education and Training,Non employing,1,
2023,Port Melbourne,"Electricity, Gas, Water and Waste Services",Non employing,6,0
2023,Port Melbourne,Financial and Insurance Services,Small business,5,38
2023,Port Melbourne,Information Media and Telecommunications,Medium business,9,330
2023,Port Melbourne,Manufacturing,Medium business,29,1563
2023,Port Melbourne,Manufacturing,Non employing,4,0
2023,Port Melbourne,"Professional, Scientific and Technical Services",Non employing,1,
2023,Port Melbourne,"Professional, Scientific and Technical Services",Small business,46,305
2023,Port Melbourne,"Transport, Postal and Warehousing",Large business,2,
2023,Port Melbourne,"Transport, Postal and Warehousing",Medium business,15,807
2023,Port Melbourne,"Transport, Postal and Warehousing",Non employing,3,0
2023,Port Melbourne,Wholesale Trade,Small business,41,297
2023,South Yarra,Accommodation and Food Services,Small business,6,46
2023,South Yarra,Education and Training,Small business,3,31
2023,South Yarra,Manufacturing,Small business,1,
2023,South Yarra,Retail Trade,Small business,4,22
2023,Southbank,Accommodation and Food Services,Medium business,79,3872
2023,Southbank,Accommodation and Food Services,Small business,123,1057
2023,Southbank,"Agriculture, Forestry and Fishing",Small business,1,
2023,Southbank,Information Media and Telecommunications,Small business,5,48
2023,Southbank,Manufacturing,Large business,2,
2023,Southbank,Mining,Large business,1,
2023,Southbank,Other Services,Large business,1,
2023,Southbank,Other Services,Non employing,15,0
2023,Southbank,"Professional, Scientific and Technical Services",Small business,41,400
2023,Southbank,"Rental, Hiring and Real Estate Services",Large business,1,
2023,Southbank,Retail Trade,Medium business,20,916
2023,Southbank,Wholesale Trade,Small business,7,72
2023,West Melbourne (Industrial),Accommodation and Food Services,Small business,4,12
2023,West Melbourne (Industrial),Arts and Recreation Services,Non employing,7,0
2023,West Melbourne (Industrial),Arts and Recreation Services,Small business,1,
2023,West Melbourne (Industrial),Construction,Non employing,4,0
2023,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Medium business,2,
2023,West Melbourne (Industrial),Manufacturing,Medium business,4,188
2023,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Medium business,2,
2023,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Small business,1,
2023,West Melbourne (Industrial),Retail Trade,Small business,5,39
2023,West Melbourne (Industrial),"Transport, Postal and Warehousing",Large business,5,2336
2023,West Melbourne (Industrial),"Transport, Postal and Warehousing",Medium business,15,1033
2023,West Melbourne (Industrial),"Transport, Postal and Warehousing",Non employing,18,0
2023,West Melbourne (Industrial),Wholesale Trade,Medium business,6,299
2023,West Melbourne (Residential),Accommodation and Food Services,Large business,1,
2023,West Melbourne (Residential),Accommodation and Food Services,Small business,62,365
2023,West Melbourne (Residential),Health Care and Social Assistance,Large business,2,
2023,West Melbourne (Residential),Health Care and Social Assistance,Medium business,2,
2023,West Melbourne (Residential),Other Services,Medium business,4,244
2023,West Melbourne (Residential),"Professional, Scientific and Technical Services",Non employing,1,
2023,West Melbourne (Residential),Public Administration and Safety,Medium business,1,
2023,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Non employing,1,
2023,West Melbourne (Residential),Retail Trade,Small business,34,156
2023,West Melbourne (Residential),Wholesale Trade,Medium business,1,
2024,Carlton,Accommodation and Food Services,Non employing,37,0
2024,Carlton,Administrative and Support Services,Small business,6,25
2024,Carlton,Arts and Recreation Services,Medium business,5,359
2024,Carlton,Construction,Medium business,2,
2024,Carlton,Education and Training,Medium business,31,1705
2024,Carlton,Education and Training,Non employing,12,0
2024,Carlton,Education and Training,Small business,38,260
2024,Carlton,Financial and Insurance Services,Medium business,5,122
2024,Carlton,Financial and Insurance Services,Small business,16,108
2024,Carlton,Health Care and Social Assistance,Medium business,16,1116
2024,Carlton,Manufacturing,Medium business,1,
2024,Carlton,Other Services,Large business,1,
2024,Carlton,Other Services,Non employing,10,0
2024,Carlton,Wholesale Trade,Medium business,2,
2024,Docklands,Accommodation and Food Services,Medium business,31,1250
2024,Docklands,Accommodation and Food Services,Non employing,3,0
2024,Docklands,Administrative and Support Services,Medium business,4,126
2024,Docklands,Arts and Recreation Services,Medium business,4,204
2024,Docklands,Construction,Medium business,7,228
2024,Docklands,Education and Training,Medium business,8,901
2024,Docklands,Health Care and Social Assistance,Small business,33,139
2024,Docklands,Manufacturing,Medium business,2,
2024,Docklands,Other Services,Large business,1,
2024,Docklands,"Professional, Scientific and Technical Services",Medium business,22,1138
2024,Docklands,Public Administration and Safety,Large business,5,8505
2024,Docklands,Public Administration and Safety,Small business,7,45
2024,Docklands,"Rental, Hiring and Real Estate Services",Small business,58,363
2024,Docklands,Retail Trade,Large business,3,824
2024,Docklands,Retail Trade,Medium business,11,831
2024,Docklands,Retail Trade,Non employing,1,
2024,Docklands,Retail Trade,Small business,149,723
2024,Docklands,"Transport, Postal and Warehousing",Non employing,4,0
2024,Docklands,"Transport, Postal and Warehousing",Small business,16,111
2024,Docklands,Wholesale Trade,Large business,3,1222
2024,East Melbourne,Accommodation and Food Services,Non employing,6,0
2024,East Melbourne,Administrative and Support Services,Medium business,3,145
2024,East Melbourne,Arts and Recreation Services,Medium business,3,112
2024,East Melbourne,Construction,Small business,4,18
2024,East Melbourne,"Electricity, Gas, Water and Waste Services",Small business,1,
2024,East Melbourne,Financial and Insurance Services,Medium business,3,234
2024,East Melbourne,Information Media and Telecommunications,Small business,2,
2024,East Melbourne,Manufacturing,Large business,2,
2024,East Melbourne,Other Services,Non employing,8,0
2024,East Melbourne,Other Services,Small business,22,91
2024,East Melbourne,"Professional, Scientific and Technical Services",Small business,27,200
2024,East Melbourne,Public Administration and Safety,Non employing,1,
2024,Kensington,Accommodation and Food Services,Small business,50,294
2024,Kensington,Arts and Recreation Services,Small business,10,61
2024,Kensington,Construction,Medium business,5,150
2024,Kensington,Health Care and Social Assistance,Medium business,8,384
2024,Kensington,Health Care and Social Assistance,Small business,20,145
2024,Kensington,Information Media and Telecommunications,Medium business,1,
2024,Kensington,Information Media and Telecommunications,Non employing,3,0
2024,Kensington,Other Services,Medium business,3,116
2024,Kensington,"Professional, Scientific and Technical Services",Large business,1,
2024,Kensington,Public Administration and Safety,Small business,2,
2024,Kensington,"Rental, Hiring and Real Estate Services",Non employing,1,
2024,Kensington,"Rental, Hiring and Real Estate Services",Small business,10,47
2024,Kensington,Retail Trade,Small business,32,176
2024,Kensington,Wholesale Trade,Non employing,3,0
2024,Melbourne (CBD),Administrative and Support Services,Large business,10,4237
2024,Melbourne (CBD),Administrative and Support Services,Small business,150,1206
2024,Melbourne (CBD),"Agriculture, Forestry and Fishing",Small business,2,
2024,Melbourne (CBD),Arts and Recreation Services,Large business,2,
2024,Melbourne (CBD),Construction,Large business,5,1341
2024,Melbourne (CBD),Construction,Small business,59,498
2024,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Non employing,34,0
2024,Melbourne (CBD),"Electricity, Gas, Water and Waste Services",Small business,14,127
2024,Melbourne (CBD),Financial and Insurance Services,Large business,41,26203
2024,Melbourne (CBD),Financial and Insurance Services,Small business,335,2580
2024,Melbourne (CBD),Information Media and Telecommunications,Non employing,3,0
2024,Melbourne (CBD),Other Services,Small business,750,3552
2024,Melbourne (CBD),"Professional, Scientific and Technical Services",Large business,52,24971
2024,Melbourne (CBD),"Professional, Scientific and Technical Services",Non employing,5,0
2024,Melbourne (CBD),"Professional, Scientific and Technical Services",Small business,877,6484
2024,Melbourne (CBD),Public Administration and Safety,Medium business,77,6324
2024,Melbourne (CBD),Public Administration and Safety,Non employing,6,0
2024,Melbourne (CBD),"Rental, Hiring and Real Estate Services",Small business,149,986
2024,Melbourne (CBD),Retail Trade,Large business,4,2298
2024,Melbourne (CBD),Retail Trade,Non employing,9,0
2024,Melbourne (CBD),"Transport, Postal and Warehousing",Large business,2,
2024,Melbourne (CBD),"Transport, Postal and Warehousing",Small business,33,242
2024,Melbourne (CBD),Wholesale Trade,Medium business,7,381
2024,Melbourne (Remainder),Accommodation and Food Services,Non employing,2,
2024,Melbourne (Remainder),Arts and Recreation Services,Non employing,23,0
2024,Melbourne (Remainder),Construction,Medium business,2,
2024,Melbourne (Remainder),Construction,Non employing,1,
2024,Melbourne (Remainder),Construction,Small business,6,30
2024,Melbourne (Remainder),"Electricity, Gas, Water and Waste Services",Medium business,1,
2024,Melbourne (Remainder),Financial and Insurance Services,Medium business,6,369
2024,Melbourne (Remainder),Financial and Insurance Services,Small business,9,77
2024,Melbourne (Remainder),Health Care and Social Assistance,Medium business,7,509
2024,Melbourne (Remainder),Health Care and Social Assistance,Small business,47,192
2024,Melbourne (Remainder),Information Media and Telecommunications,Medium business,1,
2024,Melbourne (Remainder),Other Services,Medium business,1,
2024,Melbourne (Remainder),"Professional, Scientific and Technical Services",Medium business,5,279
2024,Melbourne (Remainder),"Rental, Hiring and Real Estate Services",Small business,7,40
2024,Melbourne (Remainder),Retail Trade,Large business,1,
2024,Melbourne (Remainder),"Transport, Postal and Warehousing",Non employing,2,
2024,Melbourne (Remainder),"Transport, Postal and Warehousing",Small business,5,49
2024,Melbourne (Remainder),Wholesale Trade,Large business,1,
2024,North Melbourne,Administrative and Support Services,Medium business,5,368
2024,North Melbourne,Administrative and Support Services,Small business,20,116
2024,North Melbourne,"Agriculture, Forestry and Fishing",Small business,1,
2024,North Melbourne,Arts and Recreation Services,Large business,1,
2024,North Melbourne,Arts and Recreation Services,Medium business,1,
2024,North Melbourne,Construction,Small business,21,184
2024,North Melbourne,Financial and Insurance Services,Non employing,2,
2024,North Melbourne,Financial and Insurance Services,Small business,7,36
2024,North Melbourne,Health Care and Social Assistance,Large business,1,
2024,North Melbourne,Health Care and Social Assistance,Medium business,16,675
2024,North Melbourne,Health Care and Social Assistance,Non employing,3,0
2024,North Melbourne,Health Care and Social Assistance,Small business,80,432
2024,North Melbourne,Information Media and Telecommunications,Non employing,2,
2024,North Melbourne,Manufacturing,Medium business,5,208
2024,North Melbourne,Other Services,Medium business,7,448
2024,North Melbourne,Other Services,Non employing,15,0
2024,North Melbourne,"Professional, Scientific and Technical Services",Medium business,20,876
2024,North Melbourne,"Professional, Scientific and Technical Services",Small business,91,514
2024,North Melbourne,Public Administration and Safety,Medium business,4,237
2024,North Melbourne,Public Administration and Safety,Non employing,2,
2024,North Melbourne,"Rental, Hiring and Real Estate Services",Medium business,1,
2024,North Melbourne,Retail Trade,Non employing,1,
2024,North Melbourne,Wholesale Trade,Non employing,1,
2024,Parkville,Accommodation and Food Services,Small business,56,330
2024,Parkville,Administrative and Support Services,Medium business,2,
2024,Parkville,Arts and Recreation Services,Small business,7,39
2024,Parkville,Education and Training,Large business,9,3522
2024,Parkville,Education and Training,Medium business,43,3610
2024,Parkville,Health Care and Social Assistance,Large business,8,25616
2024,Parkville,Health Care and Social Assistance,Medium business,13,732
2024,Parkville,Manufacturing,Large business,1,
2024,Parkville,Other Services,Non employing,6,0
2024,Parkville,"Professional, Scientific and Technical Services",Medium business,9,575
2024,Parkville,Public Administration and Safety,Medium business,1,
2024,Parkville,"Transport, Postal and Warehousing",Non employing,2,
2024,Parkville,"Transport, Postal and Warehousing",Small business,2,
2024,Port Melbourne,Accommodation and Food Services,Medium business,3,108
2024,Port Melbourne,Arts and Recreation Services,Non employing,5,0
2024,Port Melbourne,Arts and Recreation Services,Small business,7,35
2024,Port Melbourne,Construction,Non employing,2,
2024,Port Melbourne,Construction,Small business,45,344
2024,Port Melbourne,Education and Training,Medium business,1,
2024,Port Melbourne,Education and Training,Small business,4,23
2024,Port Melbourne,"Electricity, Gas, Water and Waste Services",Medium business,1,
2024,Port Melbourne,Health Care and Social Assistance,Medium business,2,
2024,Port Melbourne,Information Media and Telecommunications,Medium business,9,330
2024,Port Melbourne,"Professional, Scientific and Technical Services",Large business,1,
2024,Port Melbourne,"Professional, Scientific and Technical Services",Medium business,14,778
2024,Port Melbourne,Public Administration and Safety,Medium business,7,316
2024,Port Melbourne,"Rental, Hiring and Real Estate Services",Small business,13,100
2024,Port Melbourne,Retail Trade,Small business,23,127
2024,Port Melbourne,"Transport, Postal and Warehousing",Large business,2,
2024,Port Melbourne,"Transport, Postal and Warehousing",Non employing,3,0
2024,Port Melbourne,"Transport, Postal and Warehousing",Small business,20,181
2024,South Yarra,Arts and Recreation Services,Non employing,4,0
2024,South Yarra,Education and Training,Large business,1,
2024,South Yarra,Education and Training,Small business,3,31
2024,South Yarra,Manufacturing,Small business,1,
2024,South Yarra,Other Services,Small business,6,30
2024,Southbank,Accommodation and Food Services,Non employing,5,0
2024,Southbank,Accommodation and Food Services,Small business,123,1057
2024,Southbank,Administrative and Support Services,Medium business,10,503
2024,Southbank,Administrative and Support Services,Small business,9,85
2024,Southbank,"Agriculture, Forestry and Fishing",Medium business,1,
2024,Southbank,"Agriculture, Forestry and Fishing",Small business,1,
2024,Southbank,Arts and Recreation Services,Large business,6,9959
2024,Southbank,Arts and Recreation Services,Medium business,14,1144
2024,Southbank,Arts and Recreation Services,Non employing,15,0
2024,Southbank,Construction,Large business,1,
2024,Southbank,Education and Training,Medium business,8,629
2024,Southbank,"Electricity, Gas, Water and Waste Services",Non employing,20,0
2024,Southbank,"Electricity, Gas, Water and Waste Services",Small business,4,49
2024,Southbank,Financial and Insurance Services,Medium business,11,951
2024,Southbank,Manufacturing,Large business,2,
2024,Southbank,Mining,Large business,1,
2024,Southbank,Other Services,Medium business,3,171
2024,Southbank,"Professional, Scientific and Technical Services",Large business,7,4629
2024,Southbank,Public Administration and Safety,Large business,1,
2024,Southbank,Public Administration and Safety,Small business,2,
2024,Southbank,Retail Trade,Large business,1,
2024,Southbank,Retail Trade,Non employing,1,
2024,Southbank,"Transport, Postal and Warehousing",Medium business,4,206
2024,West Melbourne (Industrial),Administrative and Support Services,Small business,1,
2024,West Melbourne (Industrial),Arts and Recreation Services,Small business,1,
2024,West Melbourne (Industrial),Construction,Non employing,4,0
2024,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Non employing,5,0
2024,West Melbourne (Industrial),"Electricity, Gas, Water and Waste Services",Small business,2,
2024,West Melbourne (Industrial),Health Care and Social Assistance,Medium business,1,
2024,West Melbourne (Industrial),Other Services,Medium business,1,
2024,West Melbourne (Industrial),Other Services,Small business,5,28
2024,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Medium business,2,
2024,West Melbourne (Industrial),"Professional, Scientific and Technical Services",Small business,1,
2024,West Melbourne (Industrial),Public Administration and Safety,Medium business,1,
2024,West Melbourne (Industrial),"Rental, Hiring and Real Estate Services",Small business,2,
2024,West Melbourne (Industrial),Retail Trade,Small business,5,39
2024,West Melbourne (Industrial),"Transport, Postal and Warehousing",Large business,5,2336
2024,West Melbourne (Industrial),"Transport, Postal and Warehousing",Non employing,18,0
2024,West Melbourne (Industrial),"Transport, Postal and Warehousing",Small business,10,98
2024,West Melbourne (Industrial),Wholesale Trade,Small business,22,151
2024,West Melbourne (Residential),Administrative and Support Services,Small business,3,23
2024,West Melbourne (Residential),Arts and Recreation Services,Medium business,2,
2024,West Melbourne (Residential),Arts and Recreation Services,Small business,11,47
2024,West Melbourne (Residential),Construction,Small business,10,90
2024,West Melbourne (Residential),Education and Training,Medium business,4,304
2024,West Melbourne (Residential),Health Care and Social Assistance,Large business,2,
2024,West Melbourne (Residential),Manufacturing,Medium business,1,
2024,West Melbourne (Residential),"Professional, Scientific and Technical Services",Small business,64,421
2024,West Melbourne (Residential),Public Administration and Safety,Small business,3,28
2024,West Melbourne (Residential),"Rental, Hiring and Real Estate Services",Small business,6,43
2024,West Melbourne (Residential),Wholesale Trade,Non employing,1,
2005,Parkville,Retail Trade,Non employing,1,
2005,Port Melbourne,Accommodation and Food Services,Medium business,2,
2005,Port Melbourne,Administrative and Support Services,Medium business,1,
2005,Port Melbourne,Administrative and Support Services,Small business,9,66
2005,Port Melbourne,Construction,Small business,9,53
2005,Port Melbourne,Manufacturing,Medium business,15,1027
2005,Port Melbourne,Manufacturing,Small business,15,152
2005,Port Melbourne,Retail Trade,Small business,11,84
2005,Port Melbourne,Wholesale Trade,Small business,27,203
2005,South Yarra,Education and Training,Non employing,3,0
2005,South Yarra,Health Care and Social Assistance,Small business,4,29
2005,South Yarra,"Professional, Scientific and Technical Services",Small business,3,9
2005,South Yarra,Retail Trade,Small business,10,44
2005,Southbank,Accommodation and Food Services,Medium business,45,1744
2005,Southbank,Accommodation and Food Services,Small business,58,490
2005,Southbank,Administrative and Support Services,Large business,3,691
2005,Southbank,Administrative and Support Services,Medium business,6,206
2005,Southbank,"Agriculture, Forestry and Fishing",Small business,1,
2005,Southbank,Arts and Recreation Services,Medium business,7,407
2005,Southbank,Arts and Recreation Services,Non employing,8,0
2005,Southbank,Arts and Recreation Services,Small business,22,126
2005,Southbank,Education and Training,Large business,2,
2005,Southbank,Financial and Insurance Services,Medium business,7,382
2005,Southbank,Health Care and Social Assistance,Large business,1,
2005,Southbank,Information Media and Telecommunications,Medium business,19,1682
2005,Southbank,Information Media and Telecommunications,Small business,12,106
2005,Southbank,Mining,Large business,2,
2005,Southbank,Mining,Medium business,1,
2005,Southbank,Other Services,Non employing,5,0
2005,Southbank,"Professional, Scientific and Technical Services",Non employing,1,
2005,Southbank,"Professional, Scientific and Technical Services",Small business,52,414
2005,Southbank,Public Administration and Safety,Medium business,6,238
2005,Southbank,"Rental, Hiring and Real Estate Services",Medium business,2,
2005,Southbank,"Transport, Postal and Warehousing",Medium business,5,255
